English,Russian
dog,собака
cat,кошка
horse,лошадь
cow,корова
pig,свинья
sheep,овца
goat,коза
rabbit,кролик
mouse,мышь
rat,крыса
wolf,волк
fox,лисица
bear,медведь
lion,лев
tiger,тигр
elephant,слон
giraffe,жираф
monkey,обезьяна
deer,олень
hare,заяц
hedgehog,ёж
squirrel,белка
hippopotamus,бегемот
rhinoceros,носорог
zebra,зебра
kangaroo,кенгуру
panda,панда
camel,верблюд
dolphin,дельфин
whale,кит
shark,акула
crocodile,крокодил
frog,лягушка
turtle,черепаха
snake,змея
eagle,орел
owl,сова
crow,ворона
duck,утка
chicken,курица
rooster,петух
turkey,индейка
goose,гусь
